Year,Round,Abbreviation,Position,GridPosition,Target,log_grid_pos,driver_win_rate,driver_avg_pos,team_avg_pos,driver_recent_avg_pos,driver_wet_avg_pos,track_avg_pos,track_avg_sc_laps,track_rain_prob,grid_team_interaction,driver_hot_form,teammate_diff,pos_gain_avg,Event_encoded,CircuitType_encoded
2019,6,RAI,17,14,3,2.70805020110221,0.0,9.6,11.7,9.6,20.0,20.0,0.0,0.0,31.684187352895854,11.0,-2.1,-0.8,23,1
2019,6,KUB,18,20,-2,3.044522437723423,0.0,16.8,16.3,16.8,20.0,20.0,0.0,0.0,49.6257157348918,17.0,0.5,-1.8,23,1
2019,6,GIO,19,18,1,2.9444389791664403,0.0,13.8,11.7,13.8,20.0,20.0,0.0,0.0,34.449936056247346,14.333333333333334,2.1,3.0,23,1
2019,6,LEC,20,15,5,2.772588722239781,0.0,4.6,4.2,4.6,20.0,20.0,0.0,0.0,11.644872633407081,5.0,0.4,0.0,23,1
2019,7,HAM,1,2,-1,1.0986122886681098,0.6666666666666666,1.3333333333333333,1.5833333333333333,1.2,20.0,20.0,0.0,0.0,1.7394694570578404,1.3333333333333333,-0.25,0.5,9,1
2019,7,VET,2,1,1,0.6931471805599453,0.0,3.5,5.333333333333333,3.4,20.0,20.0,0.0,0.0,3.6967849629863747,3.0,-1.8333333333333333,-0.5,9,1
2019,7,LEC,3,3,0,1.3862943611198906,0.0,7.166666666666667,5.333333333333333,7.6,20.0,20.0,0.0,0.0,7.393569925972749,10.0,1.8333333333333333,-0.8333333333333334,9,1
2019,7,BOT,4,6,-2,1.9459101490553132,0.3333333333333333,1.8333333333333333,1.5833333333333333,2.0,20.0,20.0,0.0,0.0,3.0810244026709124,2.0,0.25,0.0,9,1
2019,7,VER,5,9,-4,2.302585092994046,0.0,3.6666666666666665,6.25,3.8,20.0,20.0,0.0,0.0,14.391156831212786,3.6666666666666665,-2.5833333333333335,0.5,9,1
2019,7,RIC,6,4,2,1.6094379124341003,0.0,14.166666666666666,14.083333333333334,13.2,20.0,20.0,0.0,0.0,22.666250600113578,13.666666666666666,0.08333333333333333,-4.5,9,1
2019,7,HUL,7,7,0,2.0794415416798357,0.0,14.0,14.083333333333334,15.4,20.0,20.0,0.0,0.0,29.285468378657686,13.333333333333334,-0.08333333333333333,-3.6666666666666665,9,1
2019,7,GAS,8,5,3,1.791759469228055,0.0,8.833333333333334,6.25,8.4,20.0,20.0,0.0,0.0,11.198496682675344,9.333333333333334,2.5833333333333335,-0.5,9,1
2019,7,STR,9,17,-8,2.8903717578961645,0.0,13.166666666666666,11.916666666666666,14.0,20.0,20.0,0.0,0.0,34.44359678159596,14.666666666666666,1.25,2.8333333333333335,9,1
2019,7,KVY,10,10,0,2.3978952727983707,0.0,12.666666666666666,11.583333333333334,13.2,20.0,20.0,0.0,0.0,27.775620243247793,11.666666666666666,1.0833333333333333,-2.1666666666666665,9,1
2019,7,SAI,11,11,0,2.4849066497880004,0.0,12.333333333333334,12.416666666666666,10.8,20.0,20.0,0.0,0.0,30.854257568201003,7.0,-0.08333333333333333,-0.8333333333333334,9,1
2019,7,PER,12,15,-3,2.772588722239781,0.0,10.666666666666666,11.916666666666666,10.2,20.0,20.0,0.0,0.0,33.04001560669072,11.0,-1.25,1.3333333333333333,9,1
2019,7,GIO,13,12,1,2.5649493574615367,0.0,14.666666666666666,12.75,14.6,20.0,20.0,0.0,0.0,32.7031043076346,15.666666666666666,1.9166666666666667,2.3333333333333335,9,1
